config,locked_features,mse,bic,formula
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'cos((sin(x) * y))', 'exp(cos(y))', 'exp(exp(sin(cos(cos(sin(cos(x)))))))']",0.09040106422453158,-2396.5914839790576,0.8220 * exp(x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'cos(y)']",0.09040106422453158,-2396.5914839790576,0.8220 * exp(x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'y', 'cos(sin(x))', 'x', '(y * cos(x))', 'cos(y)', 'cos(cos(sin(exp(cos(exp(exp(cos(y))))))))', 'cos((y * sin(exp(x))))', 'cos(sin(exp(exp(x))))', 'sin(exp(cos((exp(cos(x)) * y))))']",0.004627956874537669,-2650.532245446495,0.2414 * exp(x) + 2.0133 * y + 0.3993 * cos(sin(x)) + 0.7356 * x + -1.9996 * (y * cos(x)) + 0.3731 * cos(y)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '(cos(x) * y)', '(x * (x * exp(y)))', 'cos(exp(exp(x)))', '(x * exp(y))', '(sin(x) * sin(sin(x)))', 'cos(exp(x))', 'x', '(x * sin(sin(y)))']",0.005243711270338814,-5202.371486694184,0.5454 * exp(x) + 3.0074 * y + -3.0251 * (cos(x) * y) + -0.4052 * (x * (x * exp(y))) + 0.8767 * (sin(x) * sin(sin(x))) + 0.7260 * cos(exp(x)) + 1.0644 * x
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', '(x * (y * sin(x)))', '(x * x)', 'y']",0.008089421199125238,-2389.9552235531214,0.9317 * exp(x) + 1.0853 * (x * (y * sin(x))) + -0.4810 * (x * x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '(y * cos(x))', '(x * (exp(y) * x))', 'x', 'cos(cos(cos(y)))', '(y * x)', 'exp(exp(x))', 'sin(x)']",0.004437323274561484,-5376.257418750698,0.3726 * exp(x) + 2.4318 * y + -2.4398 * (y * cos(x)) + -0.1658 * (x * (exp(y) * x)) + 0.5814 * x + 0.7290 * cos(cos(cos(y)))
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'y', 'exp(exp(y))', 'cos(sin(y))', '(exp((x * y)) * x)', '(x * y)', 'exp(exp(sin(y)))']",0.010484610401999326,-2254.0649540925474,0.1671 * exp(x) + 0.0739 * y + 0.8614 * cos(sin(y)) + 0.7435 * (exp((x * y)) * x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '((sin(cos(sin(y))) * (x * cos(exp(y)))) * x)', 'cos(exp((y * y)))', 'x', 'cos(cos((cos(sin(y)) * x)))']",0.0055666001186943075,-5156.432026629657,-0.7618 * exp(x) + -1.4714 * ((sin(cos(sin(y))) * (x * cos(exp(y)))) * x) + 0.1321 * cos(exp((y * y))) + 1.8361 * x + 3.0792 * cos(cos((cos(sin(y)) * x)))
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'y', 'cos(x)', 'x', '(cos(x) * y)', 'cos(y)', 'exp(cos(y))', 'sin(exp(y))', 'exp(exp(x))', '(x * x)']",0.004620775569648311,-2651.308709289069,0.2828 * exp(x) + 2.0139 * y + 0.3545 * cos(x) + 0.6901 * x + -2.0004 * (cos(x) * y) + 0.3728 * cos(y)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '(cos(x) * y)', '(x * x)', 'cos(exp(y))', 'x']",0.005016994695654414,-5260.385414360054,0.8896 * exp(x) + 2.2372 * y + -2.0469 * (cos(x) * y) + -0.5012 * (x * x) + 0.2162 * cos(exp(y))
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 0.5, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(sin((y * x)))', 'exp(exp(y))', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 0.5, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'exp(cos(x))', 'sin(sin(cos((exp(exp(sin(x))) * x))))', 'exp(exp(y))']",0.09040106422453158,-2396.5914839790576,0.8220 * exp(x)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 0.5, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 0.5, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', 'cos(x)', 'x', '(y * exp(cos(x)))', 'exp(exp(y))', '(x * y)']",0.00641215706510823,-5015.020772645819,0.4261 * exp(x) + 2.4671 * y + 0.5294 * cos(x) + 0.5266 * x + -0.9211 * (y * exp(cos(x)))
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 0.5, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp((sin(y) * exp(exp(sin(cos(x))))))', 'exp(exp((exp(y) * x)))', 'y', 'exp(exp(exp(x)))', 'exp(exp((exp(x) * x)))', 'sin(exp(exp(x)))', 'exp(x)']",0.04775362361159127,-1502.2063395952027,0.3152 * y + -0.0848 * sin(exp(exp(x))) + 0.8238 * exp(x)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 0.5, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'cos(exp(x))', 'sin(((sin(y) * sin(x)) * exp(y)))', '(x * exp(exp(cos(exp(x)))))', '(exp(exp(y)) * y)', 'exp(exp(exp(x)))', '(exp(x) * x)', 'exp(exp(exp((exp(exp((y * y))) * y))))', 'cos(exp(sin(exp((sin(x) * cos(y))))))', 'cos((x * exp(x)))']",0.07368495686603911,-2587.233347863333,1.3357 * exp(x) + -0.8132 * cos(exp(x)) + -0.9352 * (exp(x) * x)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 0.5, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 0.5, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'cos(y)']",0.09040106422453158,-2396.5914839790576,0.8220 * exp(x)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 0.5, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', '(x * sin((x * y)))', '(x * x)', 'exp(cos(x))', 'cos(y)', 'y', 'exp(y)']",0.0050219504238885205,-2615.8954045488417,0.9085 * exp(x) + 1.0394 * (x * sin((x * y))) + -0.6032 * (x * x) + -0.0990 * exp(cos(x)) + 0.3684 * cos(y)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 0.5, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '(y * cos(exp(cos((sin(x) * cos(sin(exp(y))))))))', '(x * x)', '(cos(x) * y)', 'cos(exp(y))', 'sin(exp(y))', 'sin(((cos(sin(cos(cos(y)))) * x) * y))', 'exp(y)', 'x']",0.004276579176421347,-5406.247559857882,1.9862 * y + 0.0755 * (y * cos(exp(cos((sin(x) * cos(sin(exp(y)))))))) + -1.9961 * (cos(x) * y) + 0.5862 * cos(exp(y)) + 0.2094 * sin(exp(y)) + 0.5097 * exp(y) + 0.9940 * x
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 0.5, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'y', '(x * x)', '(y * cos(x))', 'x', 'cos(y)', '(y * x)', 'sin(exp(y))', '(x * y)']",0.004779568695830223,-2634.414835183314,0.6270 * exp(x) + 2.0166 * y + -0.3477 * (x * x) + -2.0033 * (y * cos(x)) + 0.3115 * x + 0.3845 * cos(y)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 0.5, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '(sin(x) * (cos(exp(y)) * x))', '(y * cos(exp((sin(y) * (cos(y) * (x * x))))))', 'cos(exp(y))', 'x']",0.005743304018868907,-5125.18184481403,0.8277 * exp(x) + -1.1959 * (sin(x) * (cos(exp(y)) * x)) + 0.7350 * (y * cos(exp((sin(y) * (cos(y) * (x * x)))))) + 0.4222 * cos(exp(y)) + 0.0845 * x
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 0.5, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'y', '(x * y)', 'cos(y)', '(x * (sin(x) * exp(cos(exp(y)))))', 'exp(sin(exp(cos((exp(sin(y)) * x)))))', '(cos(cos(x)) * x)', 'cos(x)', 'sin(x)', '(exp(y) * sin(x))']",0.005299002107718672,-2582.830730266354,1.3363 * exp(x) + 0.4884 * cos(y) + -0.8517 * (x * (sin(x) * exp(cos(exp(y))))) + 0.0552 * exp(sin(exp(cos((exp(sin(y)) * x))))) + -0.6373 * (cos(cos(x)) * x) + -0.8736 * cos(x)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 0.5, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '(x * (x * cos(exp(y))))', '(y * y)', 'sin(exp(x))']",0.007034878891931607,-4929.243782525278,0.8394 * exp(x) + -0.9985 * (x * (x * cos(exp(y)))) + -0.3545 * (y * y) + 0.2596 * sin(exp(x))
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 0.5, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'y', 'cos(y)', 'x', 'exp((x * (x * sin(y))))']",0.006054613030300793,-2522.394366075718,-0.2833 * exp(x) + 0.0550 * y + 0.4377 * cos(y) + 1.3100 * x + 0.8858 * exp((x * (x * sin(y))))
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 0.5, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '(y * cos(x))', '((exp(y) * x) * x)', 'exp(y)', 'sin(exp(x))', 'x']",0.00434739020873317,-5396.733034266241,0.8200 * exp(x) + 2.8140 * y + -2.6454 * (y * cos(x)) + -0.2451 * ((exp(y) * x) * x) + -0.1639 * exp(y) + 0.3722 * sin(exp(x))
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 1.0, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'sin(sin(cos(x)))', '(cos(exp(x)) * exp(exp(y)))', 'sin((x * y))', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 1.0, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'cos(y)', 'cos(cos(sin(cos(x))))']",0.09040106422453158,-2396.5914839790576,0.8220 * exp(x)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 1.0, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 1.0, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', 'cos(y)', 'x', '(cos(x) * y)', 'sin(y)', 'exp(y)', 'cos(x)']",0.004177652498757921,-5436.559261697668,1.2719 * y + 0.6896 * cos(y) + 0.9936 * x + -2.0525 * (cos(x) * y) + 0.4747 * sin(y) + 0.3116 * exp(y)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 1.0, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['sin((y * exp(exp(exp(x)))))', 'exp(((exp(exp(x)) * sin(sin(y))) * (y * x)))', 'sin(exp(exp(x)))', 'exp(exp(exp(y)))', 'exp(exp(exp(cos(exp(exp(x))))))', '(y * (exp(sin(exp(x))) * exp(cos(y))))', 'exp(exp(exp(x)))', 'exp((exp(exp(x)) * x))', '(y * cos(exp(x)))', 'exp((sin(cos(x)) * exp(exp(y))))']",1.2559031069350473,113.92746045512447,dx/dt = 0
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 1.0, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'cos(x)', 'cos(exp(exp(exp(y))))']",0.09040106422453158,-2396.5914839790576,0.8220 * exp(x)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 1.0, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 1.0, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'cos(y)']",0.09040106422453158,-2396.5914839790576,0.8220 * exp(x)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 1.0, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', '(y * (x * sin(x)))', '(x * x)', 'y', 'exp(exp(y))', 'x', 'cos(y)']",0.004776444638892674,-2640.9563638227005,0.6258 * exp(x) + 1.0886 * (y * (x * sin(x))) + -0.3466 * (x * x) + 0.3131 * x + 0.3855 * cos(y)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 1.0, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', '(y * (x * x))', '((x * x) * exp(y))', 'exp(sin(cos(y)))', 'x', 'y']",0.004635211256686684,-5339.534726034901,0.4767 * exp(x) + 1.1848 * (y * (x * x)) + -0.2107 * ((x * x) * exp(y)) + 0.2228 * exp(sin(cos(y))) + 0.4657 * x
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 1.0, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', '((y * x) * sin(x))', '(x * x)', 'y', 'x', 'cos(y)']",0.004776444638892676,-2640.9563638227,0.6258 * exp(x) + 1.0886 * ((y * x) * sin(x)) + -0.3466 * (x * x) + 0.3131 * x + 0.3855 * cos(y)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 1.0, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '(x * (x * cos(exp(y))))', '((y * x) * (y * x))', 'cos(exp(y))', 'x']",0.005207203178790078,-5223.1736088508405,0.8923 * exp(x) + 0.2184 * y + -0.9869 * (x * (x * cos(exp(y)))) + -0.5678 * ((y * x) * (y * x)) + 0.2237 * cos(exp(y))
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 1.0, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', '(y * (x * x))', '(x * x)', 'exp(y)', 'y']",0.008187027875908196,-2383.9583475520394,0.9315 * exp(x) + 0.9659 * (y * (x * x)) + -0.4804 * (x * x)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 1.0, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', '(x * (x * y))', '(x * x)', 'y', 'exp(y)', '(x * exp(x))', '(sin(y) * y)']",0.004345772621991312,-5397.105185758632,1.2968 * exp(x) + 0.9515 * (x * (x * y)) + -0.3214 * (x * x) + 0.3264 * y + -0.2952 * exp(y) + -0.3335 * (x * exp(x))
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 1.0, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', '(x * (y * x))', '(x * x)', 'x', 'y']",0.008187027875908198,-2383.9583475520394,0.9315 * exp(x) + 0.9659 * (x * (y * x)) + -0.4804 * (x * x)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 15, 'c': 1.0, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', '((cos(exp(y)) * x) * x)', '(y * ((y * x) * x))', 'y', 'cos(exp(y))', 'x']",0.005207203178790079,-5223.1736088508405,0.8923 * exp(x) + -0.9869 * ((cos(exp(y)) * x) * x) + -0.5678 * (y * ((y * x) * x)) + 0.2184 * y + 0.2237 * cos(exp(y))
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 20, 'c': 0.5, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 20, 'c': 0.5, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'exp(cos(y))', 'exp(exp(y))', 'x', '(cos(exp(y)) * x)', 'sin((y * x))', '(cos(y) * sin(exp(exp(exp(x)))))', 'cos(cos(x))', 'sin((cos(cos(exp(exp(exp(cos(cos(exp(sin(x))))))))) * cos(cos(x))))', '(cos(x) * y)']",0.035884683810734,-3299.8136882049903,-0.1024 * exp(x) + 0.3553 * exp(cos(y)) + 0.0579 * exp(exp(y)) + 1.1174 * x
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 20, 'c': 0.5, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 20, 'c': 0.5, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', 'cos(y)', 'x', '(y * cos(x))', 'sin(y)', 'exp(y)', 'cos(x)']",0.004177652498757921,-5436.559261697668,1.2719 * y + 0.6896 * cos(y) + 0.9936 * x + -2.0525 * (y * cos(x)) + 0.4747 * sin(y) + 0.3116 * exp(y)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 20, 'c': 0.5, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(exp(exp(y)))', '(exp(exp(exp(cos(y)))) * cos(y))', 'cos(exp(sin(sin(x))))', 'exp(exp(exp(cos(exp(y)))))', '(exp(exp(x)) * exp(exp(y)))', 'exp(exp(exp(exp(y))))', '((exp((exp(x) * exp(y))) * y) * exp(x))', 'exp(exp(cos(exp(x))))', 'x', 'exp(cos(exp(exp((cos(exp(cos(y))) * x)))))']",0.07195713990290317,-1297.1984838754288,0.4826 * cos(exp(sin(sin(x)))) + 0.1230 * exp(exp(cos(exp(x)))) + 2.1262 * x
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 20, 'c': 0.5, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'sin(cos(exp(x)))', 'exp(cos(sin(y)))', '(exp(exp(cos(sin(cos(cos(x)))))) * y)', 'y', 'x', '(x * sin(y))']",0.004566894982640719,-5347.475208193346,0.3221 * exp(x) + 0.3131 * sin(cos(exp(x))) + 0.1976 * exp(cos(sin(y))) + -0.2983 * (exp(exp(cos(sin(cos(cos(x)))))) * y) + 3.2082 * y + 0.8988 * x
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 20, 'c': 0.5, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 20, 'c': 0.5, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'cos(y)']",0.09040106422453158,-2396.5914839790576,0.8220 * exp(x)
